S-NER, S-SCALAR, S-TAG, V-CAT, V-TAG, O-NER, O-SCALAR, O-TAG, LABEL
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','VB',
'O','0','NN','Other','TO','DURATION','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','VB',
'O','0','NN','Other','MD','O','0','VBN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','IS-A','VBZ','DATE','0','JJ',
'O','0','NN','Other','VB','O','0','NNS',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VBP','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'O','0','NN','IS-A','VBZ','O','0','JJ',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'TITLE','0','NN','Other','IN','O','0','NNS',
'O','0','NNS','Other','TO','O','0','NNS',
'O','0','NN','Other','VB','O','0','NNS',
'O','0','NNS','Other','IN','O','0','NNS',
'O','0','NNS','Other','VB','O','0','NN',
'O','0','NN','Other','VBG','O','0','NNS',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NNS','Other','IN','O','0','NNP',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NNS',
'O','0','NNS','Other','VB','O','0','NNS',
'O','0','NN','Other','TO','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','NN','O','0','VB',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NN','Other','VB','O','0','NN',
